text,width,alphabet,font_family,font_size,font_face,symbols_count,is_monospaced
Peace technology officer relate,317,latin,Courier,12,bold+italic,31,True
Red information last everything,317,latin,Courier,12,bold+italic,31,True
Brother,63,latin,Courier,14,normal,7,True
Clearly,63,latin,Courier,14,normal,7,True
Purpose,63,latin,Courier,14,normal,7,True
Score each,90,latin,Courier,14,normal,10,True
Her need stop,117,latin,Courier,14,normal,13,True
Role movie win,126,latin,Courier,14,normal,14,True
Suggest page southern,189,latin,Courier,14,normal,21,True
Scientist nation opportunity,252,latin,Courier,14,normal,28,True
Peace technology officer relate,279,latin,Courier,14,normal,31,True
Red information last everything,279,latin,Courier,14,normal,31,True
Brother,70,latin,Courier,14,bold,7,True
Clearly,70,latin,Courier,14,bold,7,True
Purpose,70,latin,Courier,14,bold,7,True
Score each,100,latin,Courier,14,bold,10,True
Her need stop,130,latin,Courier,14,bold,13,True
Role movie win,140,latin,Courier,14,bold,14,True
Suggest page southern,210,latin,Courier,14,bold,21,True
Scientist nation opportunity,280,latin,Courier,14,bold,28,True
Peace technology officer relate,310,latin,Courier,14,bold,31,True
Red information last everything,310,latin,Courier,14,bold,31,True
Brother,70,latin,Courier,14,italic,7,True
Clearly,70,latin,Courier,14,italic,7,True
Purpose,70,latin,Courier,14,italic,7,True
Score each,97,latin,Courier,14,italic,10,True
Her need stop,124,latin,Courier,14,italic,13,True
Role movie win,133,latin,Courier,14,italic,14,True
Suggest page southern,196,latin,Courier,14,italic,21,True
Scientist nation opportunity,259,latin,Courier,14,italic,28,True
Peace technology officer relate,286,latin,Courier,14,italic,31,True
Red information last everything,286,latin,Courier,14,italic,31,True
Brother,77,latin,Courier,14,bold+italic,7,True
Clearly,77,latin,Courier,14,bold+italic,7,True
Purpose,77,latin,Courier,14,bold+italic,7,True
Score each,107,latin,Courier,14,bold+italic,10,True
Her need stop,137,latin,Courier,14,bold+italic,13,True
Role movie win,147,latin,Courier,14,bold+italic,14,True
Suggest page southern,217,latin,Courier,14,bold+italic,21,True
Scientist nation opportunity,287,latin,Courier,14,bold+italic,28,True
Peace technology officer relate,317,latin,Courier,14,bold+italic,31,True
Red information last everything,317,latin,Courier,14,bold+italic,31,True
Brother,84,latin,Courier,16,normal,7,True
Clearly,84,latin,Courier,16,normal,7,True
Purpose,84,latin,Courier,16,normal,7,True
Score each,120,latin,Courier,16,normal,10,True
Her need stop,156,latin,Courier,16,normal,13,True
Role movie win,168,latin,Courier,16,normal,14,True
Suggest page southern,252,latin,Courier,16,normal,21,True
Scientist nation opportunity,336,latin,Courier,16,normal,28,True
Peace technology officer relate,372,latin,Courier,16,normal,31,True
Red information last everything,372,latin,Courier,16,normal,31,True
Brother,91,latin,Courier,16,bold,7,True
Clearly,91,latin,Courier,16,bold,7,True
Purpose,91,latin,Courier,16,bold,7,True
Score each,130,latin,Courier,16,bold,10,True
Her need stop,169,latin,Courier,16,bold,13,True
Role movie win,182,latin,Courier,16,bold,14,True
Suggest page southern,273,latin,Courier,16,bold,21,True
Scientist nation opportunity,364,latin,Courier,16,bold,28,True
Peace technology officer relate,403,latin,Courier,16,bold,31,True
Red information last everything,403,latin,Courier,16,bold,31,True
Brother,93,latin,Courier,16,italic,7,True
Clearly,93,latin,Courier,16,italic,7,True
Purpose,93,latin,Courier,16,italic,7,True
Score each,129,latin,Courier,16,italic,10,True
Her need stop,165,latin,Courier,16,italic,13,True
Role movie win,177,latin,Courier,16,italic,14,True
Suggest page southern,261,latin,Courier,16,italic,21,True
Scientist nation opportunity,345,latin,Courier,16,italic,28,True
Peace technology officer relate,381,latin,Courier,16,italic,31,True
Red information last everything,381,latin,Courier,16,italic,31,True
Brother,100,latin,Courier,16,bold+italic,7,True
Clearly,100,latin,Courier,16,bold+italic,7,True
Purpose,100,latin,Courier,16,bold+italic,7,True
Score each,139,latin,Courier,16,bold+italic,10,True
Her need stop,178,latin,Courier,16,bold+italic,13,True
Role movie win,191,latin,Courier,16,bold+italic,14,True
Suggest page southern,282,latin,Courier,16,bold+italic,21,True
Scientist nation opportunity,373,latin,Courier,16,bold+italic,28,True
Peace technology officer relate,412,latin,Courier,16,bold+italic,31,True
Red information last everything,412,latin,Courier,16,bold+italic,31,True
Brother,105,latin,Courier,20,normal,7,True
Clearly,105,latin,Courier,20,normal,7,True
Purpose,105,latin,Courier,20,normal,7,True
Score each,150,latin,Courier,20,normal,10,True
Her need stop,195,latin,Courier,20,normal,13,True
Role movie win,210,latin,Courier,20,normal,14,True
Suggest page southern,315,latin,Courier,20,normal,21,True
Scientist nation opportunity,420,latin,Courier,20,normal,28,True
Peace technology officer relate,465,latin,Courier,20,normal,31,True
Red information last everything,465,latin,Courier,20,normal,31,True
Brother,112,latin,Courier,20,bold,7,True
Clearly,112,latin,Courier,20,bold,7,True
Purpose,112,latin,Courier,20,bold,7,True
Score each,160,latin,Courier,20,bold,10,True
Her need stop,208,latin,Courier,20,bold,13,True
Role movie win,224,latin,Courier,20,bold,14,True
Suggest page southern,336,latin,Courier,20,bold,21,True
Scientist nation opportunity,448,latin,Courier,20,bold,28,True
Peace technology officer relate,496,latin,Courier,20,bold,31,True
Red information last everything,496,latin,Courier,20,bold,31,True
Brother,117,latin,Courier,20,italic,7,True
Clearly,117,latin,Courier,20,italic,7,True
Purpose,117,latin,Courier,20,italic,7,True
Score each,162,latin,Courier,20,italic,10,True
Her need stop,207,latin,Courier,20,italic,13,True
Role movie win,222,latin,Courier,20,italic,14,True
Suggest page southern,327,latin,Courier,20,italic,21,True
Scientist nation opportunity,432,latin,Courier,20,italic,28,True
Peace technology officer relate,477,latin,Courier,20,italic,31,True
Red information last everything,477,latin,Courier,20,italic,31,True
Brother,124,latin,Courier,20,bold+italic,7,True
Clearly,124,latin,Courier,20,bold+italic,7,True
Purpose,124,latin,Courier,20,bold+italic,7,True
Score each,172,latin,Courier,20,bold+italic,10,True
Her need stop,220,latin,Courier,20,bold+italic,13,True
Role movie win,236,latin,Courier,20,bold+italic,14,True
Suggest page southern,348,latin,Courier,20,bold+italic,21,True
Scientist nation opportunity,460,latin,Courier,20,bold+italic,28,True
Peace technology officer relate,508,latin,Courier,20,bold+italic,31,True
Red information last everything,508,latin,Courier,20,bold+italic,31,True
Clearly,38,latin,Geneva,9,normal,7,False
Brother,40,latin,Geneva,9,normal,7,False
Purpose,47,latin,Geneva,9,normal,7,False
Score each,62,latin,Geneva,9,normal,10,False
Her need stop,78,latin,Geneva,9,normal,13,False
Role movie win,84,latin,Geneva,9,normal,14,False
Suggest page southern,129,latin,Geneva,9,normal,21,False
Scientist nation opportunity,147,latin,Geneva,9,normal,28,False
Peace technology officer relate,167,latin,Geneva,9,normal,31,False
Red information last everything,169,latin,Geneva,9,normal,31,False
Clearly,39,latin,Geneva,9,bold,7,False
Brother,43,latin,Geneva,9,bold,7,False
Purpose,48,latin,Geneva,9,bold,7,False
Score each,65,latin,Geneva,9,bold,10,False
Her need stop,79,latin,Geneva,9,bold,13,False
Role movie win,85,latin,Geneva,9,bold,14,False
Suggest page southern,132,latin,Geneva,9,bold,21,False
Scientist nation opportunity,155,latin,Geneva,9,bold,28,False
Red information last everything,176,latin,Geneva,9,bold,31,False
Peace technology officer relate,177,latin,Geneva,9,bold,31,False
Clearly,40,latin,Geneva,9,italic,7,False
Brother,41,latin,Geneva,9,italic,7,False
Purpose,46,latin,Geneva,9,italic,7,False
Score each,62,latin,Geneva,9,italic,10,False
Her need stop,77,latin,Geneva,9,italic,13,False
Role movie win,84,latin,Geneva,9,italic,14,False
Suggest page southern,127,latin,Geneva,9,italic,21,False
Scientist nation opportunity,148,latin,Geneva,9,italic,28,False
Peace technology officer relate,168,latin,Geneva,9,italic,31,False
Red information last everything,171,latin,Geneva,9,italic,31,False
Clearly,42,latin,Geneva,9,bold+italic,7,False
Brother,45,latin,Geneva,9,bold+italic,7,False
Purpose,48,latin,Geneva,9,bold+italic,7,False
Score each,65,latin,Geneva,9,bold+italic,10,False
Her need stop,80,latin,Geneva,9,bold+italic,13,False
Role movie win,87,latin,Geneva,9,bold+italic,14,False
Suggest page southern,132,latin,Geneva,9,bold+italic,21,False
Scientist nation opportunity,157,latin,Geneva,9,bold+italic,28,False
Peace technology officer relate,178,latin,Geneva,9,bold+italic,31,False
Red information last everything,180,latin,Geneva,9,bold+italic,31,False
Clearly,45,latin,Geneva,11,normal,7,False
Brother,48,latin,Geneva,11,normal,7,False
Purpose,55,latin,Geneva,11,normal,7,False
Score each,75,latin,Geneva,11,normal,10,False
Her need stop,91,latin,Geneva,11,normal,13,False
Role movie win,99,latin,Geneva,11,normal,14,False
Suggest page southern,151,latin,Geneva,11,normal,21,False
Scientist nation opportunity,174,latin,Geneva,11,normal,28,False
Peace technology officer relate,200,latin,Geneva,11,normal,31,False
Red information last everything,200,latin,Geneva,11,normal,31,False
Clearly,49,latin,Geneva,11,bold,7,False
Brother,55,latin,Geneva,11,bold,7,False
Purpose,60,latin,Geneva,11,bold,7,False
Score each,80,latin,Geneva,11,bold,10,False
Her need stop,101,latin,Geneva,11,bold,13,False
Role movie win,108,latin,Geneva,11,bold,14,False
Suggest page southern,166,latin,Geneva,11,bold,21,False
Scientist nation opportunity,195,latin,Geneva,11,bold,28,False
Peace technology officer relate,221,latin,Geneva,11,bold,31,False
Red information last everything,222,latin,Geneva,11,bold,31,False
Clearly,47,latin,Geneva,11,italic,7,False
Brother,50,latin,Geneva,11,italic,7,False
Purpose,55,latin,Geneva,11,italic,7,False
Score each,75,latin,Geneva,11,italic,10,False
Her need stop,92,latin,Geneva,11,italic,13,False
Role movie win,98,latin,Geneva,11,italic,14,False
Suggest page southern,151,latin,Geneva,11,italic,21,False
Scientist nation opportunity,176,latin,Geneva,11,italic,28,False
Peace technology officer relate,201,latin,Geneva,11,italic,31,False
Red information last everything,203,latin,Geneva,11,italic,31,False
Clearly,50,latin,Geneva,11,bold+italic,7,False
Brother,56,latin,Geneva,11,bold+italic,7,False
Purpose,59,latin,Geneva,11,bold+italic,7,False
Score each,78,latin,Geneva,11,bold+italic,10,False
Her need stop,98,latin,Geneva,11,bold+italic,13,False
Role movie win,108,latin,Geneva,11,bold+italic,14,False
Suggest page southern,163,latin,Geneva,11,bold+italic,21,False
Scientist nation opportunity,196,latin,Geneva,11,bold+italic,28,False
Peace technology officer relate,216,latin,Geneva,11,bold+italic,31,False
Red information last everything,221,latin,Geneva,11,bold+italic,31,False
Clearly,48,latin,Geneva,12,normal,7,False
Brother,51,latin,Geneva,12,normal,7,False
Purpose,59,latin,Geneva,12,normal,7,False
Score each,80,latin,Geneva,12,normal,10,False
Her need stop,98,latin,Geneva,12,normal,13,False
Role movie win,105,latin,Geneva,12,normal,14,False
Suggest page southern,161,latin,Geneva,12,normal,21,False
Scientist nation opportunity,186,latin,Geneva,12,normal,28,False
Red information last everything,212,latin,Geneva,12,normal,31,False
Peace technology officer relate,214,latin,Geneva,12,normal,31,False
Clearly,53,latin,Geneva,12,bold,7,False
Brother,58,latin,Geneva,12,bold,7,False
Purpose,65,latin,Geneva,12,bold,7,False
Score each,86,latin,Geneva,12,bold,10,False
Her need stop,107,latin,Geneva,12,bold,13,False
Role movie win,116,latin,Geneva,12,bold,14,False
Suggest page southern,179,latin,Geneva,12,bold,21,False
Scientist nation opportunity,211,latin,Geneva,12,bold,28,False
Peace technology officer relate,235,latin,Geneva,12,bold,31,False
Red information last everything,238,latin,Geneva,12,bold,31,False
Clearly,52,latin,Geneva,12,italic,7,False
Brother,54,latin,Geneva,12,italic,7,False
Purpose,60,latin,Geneva,12,italic,7,False
Score each,81,latin,Geneva,12,italic,10,False
Her need stop,100,latin,Geneva,12,italic,13,False
Role movie win,108,latin,Geneva,12,italic,14,False
Suggest page southern,165,latin,Geneva,12,italic,21,False
Scientist nation opportunity,193,latin,Geneva,12,italic,28,False
Peace technology officer relate,219,latin,Geneva,12,italic,31,False
Red information last everything,222,latin,Geneva,12,italic,31,False
Clearly,54,latin,Geneva,12,bold+italic,7,False
Brother,59,latin,Geneva,12,bold+italic,7,False
Purpose,64,latin,Geneva,12,bold+italic,7,False
Score each,84,latin,Geneva,12,bold+italic,10,False
Her need stop,105,latin,Geneva,12,bold+italic,13,False
Role movie win,116,latin,Geneva,12,bold+italic,14,False
Suggest page southern,175,latin,Geneva,12,bold+italic,21,False
Scientist nation opportunity,209,latin,Geneva,12,bold+italic,28,False
Peace technology officer relate,231,latin,Geneva,12,bold+italic,31,False
Red information last everything,237,latin,Geneva,12,bold+italic,31,False
Clearly,58,latin,Geneva,14,normal,7,False
Brother,62,latin,Geneva,14,normal,7,False
Purpose,72,latin,Geneva,14,normal,7,False
Score each,97,latin,Geneva,14,normal,10,False
Her need stop,120,latin,Geneva,14,normal,13,False
Role movie win,128,latin,Geneva,14,normal,14,False
Suggest page southern,197,latin,Geneva,14,normal,21,False
Scientist nation opportunity,225,latin,Geneva,14,normal,28,False
Red information last everything,259,latin,Geneva,14,normal,31,False
Peace technology officer relate,263,latin,Geneva,14,normal,31,False
Clearly,65,latin,Geneva,14,bold,7,False
Brother,71,latin,Geneva,14,bold,7,False
Purpose,79,latin,Geneva,14,bold,7,False
Score each,105,latin,Geneva,14,bold,10,False
Her need stop,129,latin,Geneva,14,bold,13,False
Role movie win,139,latin,Geneva,14,bold,14,False
Suggest page southern,217,latin,Geneva,14,bold,21,False
Scientist nation opportunity,256,latin,Geneva,14,bold,28,False
Peace technology officer relate,287,latin,Geneva,14,bold,31,False
Red information last everything,289,latin,Geneva,14,bold,31,False
Clearly,64,latin,Geneva,14,italic,7,False
Brother,65,latin,Geneva,14,italic,7,False
Purpose,73,latin,Geneva,14,italic,7,False
Score each,99,latin,Geneva,14,italic,10,False
Her need stop,122,latin,Geneva,14,italic,13,False
Role movie win,135,latin,Geneva,14,italic,14,False
Suggest page southern,202,latin,Geneva,14,italic,21,False
Scientist nation opportunity,238,latin,Geneva,14,italic,28,False
Peace technology officer relate,269,latin,Geneva,14,italic,31,False
Red information last everything,272,latin,Geneva,14,italic,31,False
Clearly,69,latin,Geneva,14,bold+italic,7,False
Brother,72,latin,Geneva,14,bold+italic,7,False
Purpose,79,latin,Geneva,14,bold+italic,7,False
Score each,105,latin,Geneva,14,bold+italic,10,False
Her need stop,130,latin,Geneva,14,bold+italic,13,False
Role movie win,143,latin,Geneva,14,bold+italic,14,False
Suggest page southern,217,latin,Geneva,14,bold+italic,21,False
Scientist nation opportunity,262,latin,Geneva,14,bold+italic,28,False
Peace technology officer relate,290,latin,Geneva,14,bold+italic,31,False
Red information last everything,296,latin,Geneva,14,bold+italic,31,False
Clearly,65,latin,Geneva,16,normal,7,False
Brother,69,latin,Geneva,16,normal,7,False
Purpose,78,latin,Geneva,16,normal,7,False
Score each,108,latin,Geneva,16,normal,10,False
Her need stop,131,latin,Geneva,16,normal,13,False
Role movie win,142,latin,Geneva,16,normal,14,False
Suggest page southern,215,latin,Geneva,16,normal,21,False
Scientist nation opportunity,253,latin,Geneva,16,normal,28,False
Red information last everything,289,latin,Geneva,16,normal,31,False
Peace technology officer relate,292,latin,Geneva,16,normal,31,False
Clearly,68,latin,Geneva,16,bold,7,False
Brother,76,latin,Geneva,16,bold,7,False
Purpose,85,latin,Geneva,16,bold,7,False
Score each,114,latin,Geneva,16,bold,10,False
Her need stop,141,latin,Geneva,16,bold,13,False
Role movie win,152,latin,Geneva,16,bold,14,False
Suggest page southern,237,latin,Geneva,16,bold,21,False
Scientist nation opportunity,278,latin,Geneva,16,bold,28,False
Peace technology officer relate,312,latin,Geneva,16,bold,31,False
Red information last everything,316,latin,Geneva,16,bold,31,False
Clearly,69,latin,Geneva,16,italic,7,False
Brother,71,latin,Geneva,16,italic,7,False
Purpose,80,latin,Geneva,16,italic,7,False
Score each,109,latin,Geneva,16,italic,10,False
Her need stop,134,latin,Geneva,16,italic,13,False
Role movie win,144,latin,Geneva,16,italic,14,False
Suggest page southern,221,latin,Geneva,16,italic,21,False
Scientist nation opportunity,257,latin,Geneva,16,italic,28,False
Peace technology officer relate,295,latin,Geneva,16,italic,31,False
Red information last everything,295,latin,Geneva,16,italic,31,False
Clearly,73,latin,Geneva,16,bold+italic,7,False
Brother,77,latin,Geneva,16,bold+italic,7,False
Purpose,85,latin,Geneva,16,bold+italic,7,False
Score each,114,latin,Geneva,16,bold+italic,10,False
Her need stop,142,latin,Geneva,16,bold+italic,13,False
Role movie win,156,latin,Geneva,16,bold+italic,14,False
Suggest page southern,237,latin,Geneva,16,bold+italic,21,False
Scientist nation opportunity,285,latin,Geneva,16,bold+italic,28,False
Peace technology officer relate,316,latin,Geneva,16,bold+italic,31,False
Red information last everything,321,latin,Geneva,16,bold+italic,31,False
Clearly,85,latin,Geneva,20,normal,7,False
Brother,89,latin,Geneva,20,normal,7,False
Purpose,100,latin,Geneva,20,normal,7,False
Score each,138,latin,Geneva,20,normal,10,False
Her need stop,171,latin,Geneva,20,normal,13,False
Role movie win,183,latin,Geneva,20,normal,14,False
Suggest page southern,282,latin,Geneva,20,normal,21,False
Scientist nation opportunity,329,latin,Geneva,20,normal,28,False
Peace technology officer relate,373,latin,Geneva,20,normal,31,False
Red information last everything,375,latin,Geneva,20,normal,31,False
Clearly,92,latin,Geneva,20,bold,7,False
Brother,100,latin,Geneva,20,bold,7,False
Purpose,110,latin,Geneva,20,bold,7,False
Score each,146,latin,Geneva,20,bold,10,False
Her need stop,184,latin,Geneva,20,bold,13,False
Role movie win,203,latin,Geneva,20,bold,14,False
Suggest page southern,306,latin,Geneva,20,bold,21,False
Scientist nation opportunity,367,latin,Geneva,20,bold,28,False
Peace technology officer relate,406,latin,Geneva,20,bold,31,False
Red information last everything,416,latin,Geneva,20,bold,31,False
Clearly,87,latin,Geneva,20,italic,7,False
Brother,92,latin,Geneva,20,italic,7,False
Purpose,101,latin,Geneva,20,italic,7,False
Score each,138,latin,Geneva,20,italic,10,False
Her need stop,172,latin,Geneva,20,italic,13,False
Role movie win,184,latin,Geneva,20,italic,14,False
Suggest page southern,282,latin,Geneva,20,italic,21,False
Scientist nation opportunity,331,latin,Geneva,20,italic,28,False
Peace technology officer relate,376,latin,Geneva,20,italic,31,False
Red information last everything,378,latin,Geneva,20,italic,31,False
Clearly,91,latin,Geneva,20,bold+italic,7,False
Brother,100,latin,Geneva,20,bold+italic,7,False
Purpose,107,latin,Geneva,20,bold+italic,7,False
Score each,144,latin,Geneva,20,bold+italic,10,False
Her need stop,180,latin,Geneva,20,bold+italic,13,False
Role movie win,195,latin,Geneva,20,bold+italic,14,False
Suggest page southern,297,latin,Geneva,20,bold+italic,21,False
Scientist nation opportunity,355,latin,Geneva,20,bold+italic,28,False
Peace technology officer relate,397,latin,Geneva,20,bold+italic,31,False
Red information last everything,403,latin,Geneva,20,bold+italic,31,False
Clearly,43,latin,Georgia,9,normal,7,False
Brother,45,latin,Georgia,9,normal,7,False
Purpose,45,latin,Georgia,9,normal,7,False
Score each,61,latin,Georgia,9,normal,10,False
Her need stop,78,latin,Georgia,9,normal,13,False
Role movie win,88,latin,Georgia,9,normal,14,False
Suggest page southern,130,latin,Georgia,9,normal,21,False
Scientist nation opportunity,164,latin,Georgia,9,normal,28,False
Peace technology officer relate,175,latin,Georgia,9,normal,31,False
Red information last everything,187,latin,Georgia,9,normal,31,False
Clearly,49,latin,Georgia,9,bold,7,False
Brother,52,latin,Georgia,9,bold,7,False
Purpose,52,latin,Georgia,9,bold,7,False
Score each,68,latin,Georgia,9,bold,10,False
Her need stop,89,latin,Georgia,9,bold,13,False
Role movie win,99,latin,Georgia,9,bold,14,False
Suggest page southern,146,latin,Georgia,9,bold,21,False
Scientist nation opportunity,188,latin,Georgia,9,bold,28,False
Peace technology officer relate,198,latin,Georgia,9,bold,31,False
Red information last everything,213,latin,Georgia,9,bold,31,False
Clearly,39,latin,Georgia,9,italic,7,False
Brother,44,latin,Georgia,9,italic,7,False
Purpose,46,latin,Georgia,9,italic,7,False
Score each,60,latin,Georgia,9,italic,10,False
Her need stop,78,latin,Georgia,9,italic,13,False
Role movie win,86,latin,Georgia,9,italic,14,False
Suggest page southern,126,latin,Georgia,9,italic,21,False
Scientist nation opportunity,152,latin,Georgia,9,italic,28,False
Peace technology officer relate,169,latin,Georgia,9,italic,31,False
Red information last everything,175,latin,Georgia,9,italic,31,False
Clearly,46,latin,Georgia,9,bold+italic,7,False
Brother,51,latin,Georgia,9,bold+italic,7,False
Purpose,53,latin,Georgia,9,bold+italic,7,False
Score each,70,latin,Georgia,9,bold+italic,10,False
Her need stop,89,latin,Georgia,9,bold+italic,13,False
Role movie win,98,latin,Georgia,9,bold+italic,14,False
Suggest page southern,146,latin,Georgia,9,bold+italic,21,False
Scientist nation opportunity,179,latin,Georgia,9,bold+italic,28,False
Peace technology officer relate,197,latin,Georgia,9,bold+italic,31,False
Red information last everything,204,latin,Georgia,9,bold+italic,31,False
Clearly,47,latin,Georgia,11,normal,7,False
Brother,51,latin,Georgia,11,normal,7,False
Purpose,53,latin,Georgia,11,normal,7,False
Score each,71,latin,Georgia,11,normal,10,False
Her need stop,91,latin,Georgia,11,normal,13,False
Role movie win,104,latin,Georgia,11,normal,14,False
Suggest page southern,149,latin,Georgia,11,normal,21,False
Scientist nation opportunity,184,latin,Georgia,11,normal,28,False
Peace technology officer relate,202,latin,Georgia,11,normal,31,False
Red information last everything,212,latin,Georgia,11,normal,31,False
Clearly,55,latin,Georgia,11,bold,7,False
Brother,60,latin,Georgia,11,bold,7,False
Purpose,63,latin,Georgia,11,bold,7,False
Score each,82,latin,Georgia,11,bold,10,False
Her need stop,106,latin,Georgia,11,bold,13,False
Role movie win,116,latin,Georgia,11,bold,14,False
Suggest page southern,168,latin,Georgia,11,bold,21,False
Scientist nation opportunity,214,latin,Georgia,11,bold,28,False
